NIT;ID_CLIENTE_ONYX;NOMBRE_CLIENTE;ID_ATENCION_ONYX;ATENCION;PRIORIDAD_ATENCION;ESTADO_ATENCION;ORIGEN_ATENCION;DESCRIPCION;RESUMEN;RESOLUCION_1;RESOLUCION_2;RESOLUCION_3;RESOLUCION_4;USUARIO_INSERTADO;GRUPO_INSERTADO;USUARIO_ASIGNADO;GRUPO_ASIGNADO;USUARIO_SOLUCION;GRUPO_SOLUCION;USUARIO_CERRADO;GRUPO_CERRADO;ID_ENLACE;SERVICIO;PRODUCTO;FAMILIA;FECHA_CREACION;FECHA_INGRESO_ESTADO;DT_AJUSTADO;MAYOR_INCIDENT;GRUPO_OBJETIVO;SEGMENTO;CIUDAD;PALABRA_CLAVE;NIT_SIN_COD_Calc;SISTEMA_Calc;Consecutivo_Calc;Clasif_Por_Servicio_Calc;Clasif_Por_Cliente_Calc;SLA_Calc;Reclasificacion_atencion_Calc;Tiempo_Horas_SLA_Calc;Cumplimiento_Calc;Nueva_Prioridad_Calc;Meta_Individual_Calc;Meta_Presidencia_Calc;Meta_IFI_Calc;3G_Calc;TMX_Minutos_Calc;TMX_Calc;Reincidencia_Calc;Recurrencia_Calc;RESPONSABILIDAD;LLAVE_GENERAL_Calc;LLAVE_Reincidencia_Calc;Reclasificacion_Reinc_Calc;FCR;Cluster_Actual_Calc;Celula_Comercial_Calc;Clasif_Por_IVR_Calc;TIPO TICKET;DT_CONCILIADO;CONTACTO DESTINO;TICKET_CARRIER;ALIAS ENLACE;FECHA_SOLUCION;TIEMPO INCIDENTE;RANGO HORA;TICKET_MAXIMO;REGIONAL;DIRECTOR;PN;G_SEGMENTO;G_Clasif_Por_IVR_Calc;NODO;Agrupacion_Especiales;Interno / Externo;VENDOR;Numero_CUN;TIPOSERVICIO;SUBTIPO
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;SD1974232;Incident;3 - Average;Closed;10;"Cordial saludo

Nos intentamos comunicar con la  se¤ora  LUISA FERNANDA GRANADOS NARANJO  a la l¡nea de falla 3134650367  y  al  n£mero de contacto 3214938091 nos indica que  la se¤orea nbo esta con ella,  como no fue posible la comunicaci¢n, se deja mens";Segmento Empresas  Cliente afectado CREDIBANCO S.A.;incident;Voz / Datos Navegacion;Intermitencia;;Lady Julieth Llanos Velasquez;;ECM5417D;Movil EYN - Mesa de Soporte E&N;ECM5417D;Movil EYN - Mesa de Soporte E&N;Edgar Yobani Pacheco Cristancho;;default;MOVIL - SERVICIO GENERICO;;Fulfilled;27/07/2022;29/07/2022;0,119444444;;;ESTRATEGICA;;Servicio Movil_Generico;860032909;SM;40556;Empresas;CE;0;Incidente;0,119444444;Cumple;Prioridad 3;;;;NO;0;;No Aplica;SI;Cliente;SD1974232default;defaultincidentVoz / Datos NavegacionIntermitencia;Error Proceso;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;;860032909-0;;;;;;;;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;;NO AVAL;Externo;;No Tiene;;Default Generic
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;SD1961042;Incident;3 - Average;Closed;6 - Tel‚fono;"Cordial saludo,

Nos comunicamos con el Sr. Alexander Carvajal, quien reporta que esta revisando unos datafonos que  no le responden, desde ayer tiene la falla, indica que en las coordenadas (3.364867228010355, -76.53182230689966) son 3 l¡neas en datafono";Segmento  Empresas   Cliente afectado SOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;incident;Voz / Datos Navegacion;Aprovisionamiento / Reaprovisionamiento Linea;M¢vil ? L¡nea Conciliada o Reaprovisionada (Aprovisionamiento);MAIRA ALEJANDRA LIZARAZO AVILA;;EC2823J;Movil EYN - Mesa de Soporte E&N;EC2823J;Movil EYN - Mesa de Soporte E&N;Ferney Camilo Gomez Quiroga;;default;MOVIL - SERVICIO GENERICO;;Fulfilled;19/07/2022;19/07/2022;0,233611111;;;ESTRATEGICA;;Servicio Movil_Generico;860032909;SM;40555;Empresas;CE;0;Incidente;0,233611111;Cumple;Prioridad 3;;;;NO;0;;No Aplica;SI;Claro;SD1961042default;defaultincidentVoz / Datos NavegacionAprovisionamiento / Reaprovisionamiento LineaM¢vil ? L¡nea Conciliada o Reaprovisionada (Aprovisionamiento);Error Proceso;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;;860032909;;;;;;;;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Default Generic
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1669389;Incident;1 - Critical;Closed;3 - Evento;RRO0178  + SW  AAG-BOG.GALERIAS-M1  + PUERTO 5/1/14  + CAÖDA+ BOGOTA + A9KCENTRO+ RRO0178 - BOGOTA LOCATEL GALERIAS;;incident;failure;Conectividad Limitada;Fibra - Ruptura;ECF7044B;;ECF7044B;EYN - NOC Clientes Especiales;ECF7044B;EYN - NOC Clientes Especiales;Saul Gomez Vargas;EYN - NOC Clientes Especiales;rro0178;Empresas ? Intranet;;Resolved Successfully;31/07/2022;31/07/2022;0,282777778;;;ESTRATEGICA;Tocancip ;rro0178_a9kcentro_gigabitethernet0/1/0/4.623;860032909;SM;40536;Empresas;CE;4;Incidente;0,282777778;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Cliente;IM1669389rro0178;rro0178incidentfailureConectividad LimitadaFibra - Ruptura;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;2,158611111;1069713349;;;;;;INC6898009;R4. CENTRO;Roberto Lazcano;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;PLANTA EXTERNA;No Tiene;;Puertos MPLS
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1668568;Incident;1 - Critical;Closed;3 - Evento;"XZPC017+ SW 	HAC-ANT.BE?LLO_HOG-CP?2 + PUERTO 	0/1/6 ID 43+ FALLA + CIUDAD + EQUIPO + XZPC017 - BELLO HOMCENTER NORTE";;incident;failure;Conectividad Limitada;Fibra - Ruptura;ECF7044B;;ECF7044B;EYN - NOC Clientes Especiales;ECF7044B;EYN - NOC Clientes Especiales;Saul Gomez Vargas;EYN - NOC Clientes Especiales;;Empresas ? Intranet;;Resolved Successfully;30/07/2022;31/07/2022;0,346111111;;;ESTRATEGICA;;;860032909;SM;40534;Empresas;CE;4;Incidente;0,346111111;Cumple;Prioridad 1;;;;NO;0;;No Aplica;No Aplica;Claro;IM1668568;incidentfailureConectividad LimitadaFibra - Ruptura;Error Proceso;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;5,055277778;1069713349;;;;;;;;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1668137;Incident;1 - Critical;Closed;3 - Evento;ACR0436  + SW ZAC-ARM.AR?MENIA-CP1 + PUERTO 1/2/7:29 + CAÖDA+ ARMENIA + A9KDOSQUEBRADAS + ACR0436 - ARMENIA OLIMPICA SAN DIEGO;;incident;failure;Conectividad Limitada;Instalaciones - Energ¡a;ECF7044B;;ECF7044B;EYN - NOC Clientes Especiales;ECF7044B;EYN - NOC Clientes Especiales;Saul Gomez Vargas;EYN - NOC Clientes Especiales;acr0436;Empresas ? Intranet;;Resolved Successfully;29/07/2022;31/07/2022;0,106388889;;;ESTRATEGICA;Tocancip ;acr0436_aag-arm.armenia-h1_1/1/1:220;860032909;SM;40533;Empresas;CE;4;Incidente;0,106388889;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Claro;IM1668137acr0436;acr0436incidentfailureConectividad LimitadaInstalaciones - Energ¡a;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;3,128611111;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Nodos Alcatel
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1667993;Incident;1 - Critical;Closed;3 - Evento;"CRT0009  + SW HAC-BAQ.BQ?C?ENTRO-CP1  + PUERTO 	Port 0/10/16 + CAÖDA + BARRANQUILLA + A9KBQWTC + 	CRT0009 - BARRANQUILLA SEDE ADMINISTRATIVA PPAL";;incident;failure;Conectividad Limitada;Fibra - Ruptura;ECF7044B;;ECF7044B;EYN - NOC Clientes Especiales;EC8065I;EYN - NOC Clientes Especiales;Saul Gomez Vargas;EYN - NOC Clientes Especiales;rrm0005;Empresas ? Extranet;;Diagnosed Successfully;29/07/2022;30/07/2022;0,028611111;;;ESTRATEGICA;Tocancip ;crt0009_mbqcentro_gigabitethernet8/37;860032909;SM;40532;Empresas;CE;4;Incidente;0,028611111;Cumple;Prioridad 1;;;;NO;0;;SI;SI;Cliente;IM1667993rrm0005;rrm0005incidentfailureConectividad LimitadaFibra - Ruptura;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;5,810277778;1069713349;;;;;;INC6887755;R4. CENTRO;Roberto Lazcano;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;PLANTA EXTERNA;No Tiene;;Puertos METRO
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1667541;Incident;1 - Critical;Closed;3 - Evento;RRM0092 +mbarranqui?lla2 + Fa5/45 + CAIDA DATOS  +BARRANQUILLA OLIMPICA STO 68;;incident;failure;No Hay Navegaci¢n;Fibra - Ruptura;ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF7044B;EYN - NOC Clientes Especiales;Saul Gomez Vargas;EYN - NOC Clientes Especiales;rrm0092;Empresas ? Intranet;;Resolved Successfully;29/07/2022;31/07/2022;0,158888889;;;ESTRATEGICA;Tocancip ;rrm0092_a9kbqwtc_gigabitethernet0/1/0/4.1118;860032909;SM;40531;Empresas;CE;4;Incidente;0,158888889;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Claro;IM1667541rrm0092;rrm0092incidentfailureNo Hay Navegaci¢nFibra - Ruptura;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;6,976944444;1069713349;;;;;;INC6886838;R4. CENTRO;Roberto Lazcano;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;PLANTA EXTERNA;No Tiene;;Puertos MPLS
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1667090;Incident;1 - Critical;Closed;3 - Evento;RRO0486 - BOGOTA OLIMPICA PASEO DEL RÖO;;incident;failure;Conectividad Limitada;Fibra - Ruptura;ECF6711C;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;RRO0486;Empresas ? Intranet;;Resolved Successfully;29/07/2022;29/07/2022;0,058611111;;;ESTRATEGICA;Bogot ;RRO0486;860032909;SM;40529;Empresas;CE;4;Incidente;0,058611111;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Claro;IM1667090RRO0486;RRO0486incidentfailureConectividad LimitadaFibra - Ruptura;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;1,566666667;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;MPLS TRANSACCIONAL
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1667013;Incident;1 - Critical;Closed;3 - Evento;ACR0326 - NEIVA SUPER SUPERIOR;;incident;failure;Conectividad Limitada;Hardware - Da¤ado (Cliente);ECF6711C;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;acr0326;Empresas ? Intranet;;Resolved Successfully;29/07/2022;29/07/2022;0,030555556;;;ESTRATEGICA;Tocancip ;acr0326;860032909;SM;40528;Empresas;CE;4;Incidente;0,030555556;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Cliente;IM1667013acr0326;acr0326incidentfailureConectividad LimitadaHardware - Da¤ado (Cliente);Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;11;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;MPLS TRANSACCIONAL
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1666300;Incident;1 - Critical;Closed;3 - Evento;XZPC006 + ZAC-ANT.RI?ONEGRO-CP1 + GPON ONU 1/1/7:32 + CAIDA DATOS +RIONEGRO ANTIOQUIA LA VAQUITA;;incident;failure;No Hay Navegaci¢n;Hardware - Da¤ado (Cliente);ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;XZPC006;Empresas ? Intranet;;Resolved Successfully;28/07/2022;28/07/2022;0,038055556;;;ESTRATEGICA;Rionegro;;860032909;SM;40526;Empresas;CE;4;Incidente;0,038055556;Cumple;Prioridad 1;;;;NO;0;;NO;SI;Cliente;IM1666300XZPC006;XZPC006incidentfailureNo Hay Navegaci¢nHardware - Da¤ado (Cliente);Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;1;1069713349;;;;;;;R2. NORTE;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;
